user,item,rating,timestamp
195,241,1,881250949
185,301,1,891717742
21,376,1,878887116
243,50,1,880606923
165,345,1,886397596
297,473,1,884182806
114,264,1,881171488
252,464,1,891628467
304,450,1,886324817
5,85,1,883603013
61,256,1,879372434
285,1013,1,879781125
199,221,1,876042340
209,39,1,891035994
223,28,1,888104457
302,784,1,879485318
121,386,1,879270459
193,273,1,879539794
290,1041,1,874834944
233,1183,1,892079237
118,391,1,886176814
166,485,1,892738452
298,143,1,877881320
290,117,1,874833878
307,0,1,887736532
94,545,1,879196566
37,94,1,892430094
101,767,1,883748450
62,276,1,875747401
159,233,1,876861185
49,245,1,877052329
300,97,1,882075827
224,192,1,879539727
289,87,1,880731963
96,193,1,884238860
156,273,1,886890835
180,1080,1,878962623
277,602,1,891295330
275,795,1,874791932
6,31,1,891350932
9,15,1,877888877
283,303,1,885329322
200,978,1,884114233
275,563,1,874791805
286,326,1,875333916
245,200,1,884921594
241,1136,1,879741196
248,240,1,879641194
98,3,1,886519097
177,331,1,882823437
250,99,1,886271884
80,431,1,876535131
259,321,1,890618898
24,180,1,885853415
58,195,1,888205088
71,678,1,880037164
86,383,1,879877127
289,142,1,880474293
41,422,1,881107687
291,514,1,881103977
114,19,1,881171009
19,287,1,879667584
200,218,1,884112673
12,525,1,882141053
245,918,1,884920949
137,25,1,879024232
166,231,1,892738341
59,426,1,883326620
56,303,1,883698581
222,273,1,891550094
188,511,1,893277702
242,14,1,879987440
91,1048,1,890251826
245,415,1,884923047
193,164,1,879546723
240,689,1,887249482
177,247,1,882823954
253,1443,1,886475558
292,4,1,888906576
126,228,1,884364867
224,236,1,879539643
298,228,1,878192429
224,479,1,879540748
275,53,1,874791025
290,143,1,874835091
221,365,1,878183381
266,517,1,878971773
41,402,1,881108684
10,110,1,891903862
94,624,1,888954412
7,337,1,879361873
161,24,1,877635573
86,1015,1,879876194
278,153,1,875296291
144,274,1,885557505
118,1152,1,874781198
61,497,1,879373848
61,381,1,879375537
27,208,1,881961214
134,22,1,879857765
31,293,1,883709863
89,381,1,891383835
285,207,1,877531942
292,684,1,888905170
215,143,1,880234639
165,327,1,886397722
249,495,1,878090499
270,131,1,885848672
159,173,1,876860807
264,117,1,875320714
197,497,1,884207492
41,95,1,881107178
167,150,1,884288058
109,306,1,886987260
57,143,1,884304936
89,647,1,891384754
270,345,1,885844430
61,20,1,879373460
278,831,1,881375854
236,513,1,879376641
93,788,1,891720887
127,484,1,879966895
297,316,1,884182806
43,194,1,878347874
263,199,1,886122352
193,384,1,879524643
71,194,1,880037702
221,749,1,883815120
249,263,1,878089182
40,264,1,890687042
223,244,1,888082216
81,134,1,878769629
261,1146,1,879791710
292,470,1,888904884
215,657,1,880245029
249,139,1,878092059
58,22,1,888205300
285,378,1,877533771
243,814,1,880605185
6,478,1,891352010
173,367,1,886434402
86,273,1,879876734
193,1210,1,879551380
81,1133,1,884714402
12,835,1,882139746
12,271,1,884538403
243,755,1,880605157
304,426,1,886323090
94,786,1,888954930
42,13,1,883955745
298,954,1,889502823
56,418,1,883698454
83,404,1,883452363
268,503,1,891449922
298,110,1,877878184
193,465,1,879525876
159,134,1,876860807
98,267,1,885678247
9,485,1,877886846
258,116,1,874724988
84,426,1,879456350
302,918,1,879467295
212,272,1,878870987
120,513,1,891387947
89,97,1,891383204
48,558,1,888067405
41,793,1,881108425
154,322,1,879371261
67,116,1,876973939
171,176,1,875537965
18,3,1,885412840
267,230,1,875744136
4,1,1,875636053
304,116,1,886324028
43,293,1,883612356
42,136,1,875975656
278,1335,1,875298353
79,465,1,887401701
253,163,1,886472768
297,280,1,884183336
278,1239,1,892174404
65,297,1,883601324
17,442,1,880130193
267,1034,1,875542174
98,78,1,885680138
12,97,1,881515011
25,257,1,891347949
6,454,1,891353086
221,754,1,878183481
199,672,1,884128554
118,327,1,876923913
212,171,1,878955442
